"","athlete.country","type","averageDistance","averageElevationGain","averageIncline","n"
"1","Australia","Ride",32759.7931034483,337.592572944297,0.0102267171786834,377
"2","Australia","Run",6511.48720930233,49.0773255813953,0.00738116078286604,172
"3","Brazil","Ride",32737.6745341615,372.975155279503,0.0112519769356449,161
"4","Brazil","Run",6744.2320754717,31.3433962264151,0.00477471641339791,53
"5","Canada","Ride",28146.8174757282,254.55145631068,0.0109822617824439,103
"6","Canada","Run",6786.51444444444,82.8122222222222,0.0132618988681997,90
"7","France","Ride",42032.4254385965,448.284210526316,0.0104204975594823,114
"8","France","Run",9011.913,103.361,0.00991708161134522,100
"9","United Kingdom","Ride",26799.7710021322,225.402025586354,0.00779949663247618,938
"10","United Kingdom","Run",7168.85803722504,61.639255499154,0.0074235703637587,591
"11","United States","Ride",32027.9354237288,290.896949152542,0.00950122614742908,1180
"12","United States","Run",7009.70390532544,71.0250887573964,0.00880517861841116,845
